name,latitude,longitude,district,pedestrian_traffic_estimate,metro_passenger_flow,distance_to_metro,public_transport_stops_count,cafes_300m,cafes_1km,average_competitor_rating,population_density,median_income,office_density,average_rent_m2,available_commercial_spaces,rating
Чайхона,55.8141745,37.7727376,Moscow,1370,94000,8496.026683270631,85,1,7,,9321,83537,13,1900,13,4.2
Виктория,55.8141112,37.7727751,Moscow,1206,94000,8494.548853416967,85,1,7,,10962,67880,20,2400,13,4.5
Шашлычный уголок,55.8131499,37.8268013,Moscow,1308,94000,11506.29779830531,85,3,9,,10968,119845,26,1700,10,4.3
Mix-точка,55.7679799,37.8471807,Moscow,763,68000,11898.13943550872,85,2,8,,13930,114526,11,2000,13,3.8
Донер дом,55.7088477,37.7337103,Moscow,997,62000,6538.613630264544,85,1,9,,8077,87656,16,2100,5,4.2
Coffee Like,55.6700538,37.8710733,Moscow,1076,62000,16157.062988285832,85,1,8,,11888,103122,42,2100,1,4.6
Cofix,55.8077508,37.5802685,Moscow,1137,71000,3427.2804860517945,85,15,69,,13725,118466,37,2400,8,4.5
Unknown,55.6733517,37.7223402,Moscow,592,62000,8347.660554425336,85,1,6,,9241,112395,24,2100,11,4.6
Чайхана,55.7035881,37.6855631,Moscow,1469,62000,4306.099717866042,85,6,16,,10877,69573,36,1950,0,4.1
#ИмпроVизация,55.7532273,37.8686624,Moscow,487,68000,13188.415120529278,85,2,59,,14711,114874,18,1950,14,4.6
Мимино,55.7898519,37.6344569,Moscow,611,94000,2005.5933342837466,85,6,20,,13583,91324,23,2300,11,4.1
Аура,55.7169302,37.7941871,Moscow,1014,68000,9619.639429396459,85,7,14,,11439,69376,20,2100,2,4.4
Шашлычный Атаман,55.6537635,37.7662672,Moscow,545,62000,11806.574202451078,85,2,7,,12152,95129,30,1800,6,4.3
Пиццерия,55.6265293,37.6564498,Moscow,815,62000,11680.437896177249,85,0,6,,7088,106773,19,2300,7,4.4
Daily Green,55.7426841,37.6348064,Moscow,894,62000,1306.4499212937042,85,11,104,,7127,81234,12,3500,12,4.1
Unknown,55.5925231,37.7484065,Moscow,372,62000,16909.285523012062,85,1,6,,7282,101351,16,1950,1,4.7
Амина,55.6601414,37.8566654,Moscow,443,62000,15861.422003822961,85,3,8,,9313,73897,30,2000,10,4.6
Дидор,55.6616234,37.8575465,Moscow,1027,62000,15828.174399641826,85,3,6,,12706,108116,27,2400,10,3.8
"Чайхана ""Аджба""",55.6615209,37.8574924,Moscow,247,62000,15830.788979947274,85,3,6,,7672,80650,32,2400,0,4.6
Рохат,55.6613237,37.8573884,Moscow,604,62000,15835.847576502778,85,3,6,,5634,114613,10,2400,14,4.0
Кулинарная лавка братьев Караваевых,55.8216799,37.4981122,Moscow,1038,71000,7314.355942158751,85,14,22,,6486,66668,24,1950,5,4.2
Лаззат,55.8322689,37.4876073,Moscow,385,71000,8605.583886819059,85,0,15,,13902,128670,34,2300,11,4.5
Ztort,55.6444384,37.4949053,Moscow,1212,79000,11910.443400626033,85,0,4,,10745,67068,19,3500,12,4.2
In the 60's,55.7722297,37.6093903,Moscow,1429,77000,831.4068380238535,85,9,148,,13241,116030,48,2400,5,3.9
МамаМай,55.7723926,37.6059528,Moscow,851,54000,775.1834293747789,85,15,170,,10541,117469,43,1900,3,3.8
Unknown,55.8156949,37.6913358,Moscow,1031,94000,4963.958050248235,85,2,5,,10461,107038,16,3500,9,4.8
Деликатесса,55.5998518,37.7246446,Moscow,273,62000,15584.567957128169,85,4,11,,10838,66997,49,1950,13,4.6
Surf Coffee,55.7622517,37.5682856,Moscow,1382,71000,1911.9465733480815,85,14,74,,10178,122084,39,2000,4,3.6
Суши Пятница,55.8096748,37.569125,Moscow,461,71000,3750.3736478381356,85,1,32,,8120,72549,33,1700,14,4.5
Unknown,55.6097113,37.7221718,Moscow,1058,62000,14505.762379510077,85,3,14,,6657,126858,13,2000,2,4.5
Flip,55.7280968,37.5599867,Moscow,897,79000,1795.9904356052186,85,3,39,,7378,70052,42,2000,1,3.6
Новогорск,55.8893773,37.3588344,Moscow,1374,71000,18811.08120417464,85,2,2,,12547,127656,30,2400,3,3.7
Fine,55.7471795,37.607895,Moscow,1009,89000,1204.0289272674738,85,6,95,,14058,69686,46,1950,3,4.5
Печорин,55.7235644,37.6111843,Moscow,517,62000,1815.6867910690362,85,11,72,,6574,91122,18,2100,0,4.2
Frank by Баста,55.7354612,37.5880238,Moscow,1252,79000,1725.8759765880118,85,19,58,,10661,103855,22,2000,1,4.0
Музей чизкейка,55.8063977,37.5458578,Moscow,639,71000,4046.113604352662,85,6,17,,8181,129822,23,2100,2,4.2
Территория кофе,55.7872211,37.5798994,Moscow,1102,71000,1165.099119125721,85,8,66,,6803,86173,29,2100,8,4.7
Котлет.нет,55.7713783,37.7139376,Moscow,797,94000,3721.788314273389,85,2,6,,5180,114473,30,1900,5,3.6
Coffee In,55.7567602,37.8575132,Moscow,938,68000,12483.568143706947,85,4,38,,12415,128586,46,2300,6,3.9
Cofix,55.7816232,37.7053182,Moscow,448,94000,3208.16243480748,85,10,50,,9965,85368,49,1700,1,4.3
Робэс,55.6529396,37.3957585,Moscow,878,79000,14662.77334269547,85,2,13,,8012,110873,17,1900,8,3.7
Oh My Toast,55.7465181,37.5814706,Moscow,389,79000,1068.2221596130535,85,14,72,,6770,87957,25,1700,7,3.6
Алатоо,55.7120896,37.7306356,Moscow,1222,62000,6229.68996309644,85,0,9,,11917,89499,25,1700,7,3.6
Beerstream,55.6008598,37.7239662,Moscow,287,62000,15464.655400335967,85,4,13,,14366,108633,11,2400,5,3.8
Раф & Стафф,55.6006902,37.724077,Moscow,982,62000,15484.757182368783,85,4,12,,9822,75360,46,1950,11,4.0
В парке вкуснее,55.878564,37.4600271,Moscow,1141,71000,13692.806612845578,85,0,7,,10757,62182,21,2300,12,4.2
Кофе In,55.7933488,37.5639376,Moscow,1442,71000,2208.682267524735,85,4,38,,10680,91721,15,3500,13,4.8
Cofix,55.7617024,37.6240221,Moscow,216,89000,724.7906064674718,85,23,181,,5316,128471,36,1800,12,4.5
Я кофе,55.7529951,37.8594901,Moscow,884,68000,12615.704967841915,85,19,53,,13637,105734,22,2100,0,4.1
I Do The Kitchen,55.8213386,37.4319595,Moscow,1455,71000,10705.671131355384,85,2,18,,11703,77553,14,2400,4,4.6
Mátes,55.7616638,37.5960155,Moscow,1137,72000,676.499202097364,85,14,121,,7696,99771,49,2400,10,3.7
Кулинарная лавка братьев Караваевых,55.7653902,37.5639054,Moscow,871,71000,1801.7341260517678,85,5,68,,10081,87659,47,2300,5,3.7
Jeffreys coffeeshop,55.7540809,37.649733,Moscow,923,68000,610.6888841672147,85,10,159,,11473,129727,10,3500,8,4.7
Jeffreys coffeeshop,55.612499,37.6085401,Moscow,247,62000,13297.012872813677,85,5,6,,9699,123451,12,2400,11,4.5
Jeffreys coffeeshop,55.7158267,37.6767433,Moscow,701,62000,3006.8436145082396,85,1,15,,7585,80847,41,2300,12,3.9
Jeffreys coffeeshop,55.5247138,37.5176615,Moscow,1065,62000,24130.393832100875,85,6,6,,8218,89986,16,2100,11,4.1
Jeffreys coffeeshop,55.69899,37.737695,Moscow,588,62000,7242.263965255643,85,4,12,,10375,61129,23,2400,8,4.4
Jeffrey's Coffee,55.6118077,37.6073062,Moscow,1395,62000,13383.73769783788,85,5,8,,12140,98805,49,2300,11,4.0
Jeffrey's Coffee,55.5242641,37.5185573,Moscow,1103,62000,24160.579635725033,85,6,6,,14451,98085,14,2300,10,4.7
Выпей Кофе!,55.7868366,37.6361279,Moscow,489,94000,1686.5835582055995,85,6,29,,6389,100820,30,3500,5,4.1
Хинкальная на Руставели,55.813607,37.596821,Moscow,680,54000,3861.7153576804276,85,1,17,,7299,61960,38,3500,5,4.3
Кофе муз,55.7081101,37.6551434,Moscow,634,62000,2787.3771285729813,85,25,40,,13303,127283,49,1900,2,3.7
Кофе муз,55.8219354,37.3770252,Moscow,754,71000,13867.69013353819,85,6,32,,7954,109257,20,2400,0,4.1
Totem night,55.6898704,37.5981653,Moscow,1390,62000,5180.196249819818,85,6,10,,7267,129905,29,2400,4,3.8
Кофе муз,55.546083,37.549184,Moscow,280,62000,21287.631853129627,85,1,12,,13977,120626,37,1900,8,4.1
Кофе муз,55.6332865,37.6581341,Moscow,1480,62000,10945.72517010734,85,2,11,,8528,62132,26,2100,10,3.7
Cofix,55.758311,37.6133627,Moscow,859,89000,220.18166846586692,85,22,151,,11724,113940,28,2300,7,3.6
Встреча,55.5655467,37.5623942,Moscow,263,62000,18983.752462542878,85,0,5,,12958,69138,35,1950,12,4.0
Чайхана Халяль,55.7531751,37.8600411,Moscow,584,68000,12649.44331460351,85,21,53,,13154,92447,38,2000,13,3.6
FM Pizza,55.7138893,37.5137454,Moscow,871,79000,4637.860065649638,85,1,8,,5726,60264,31,2100,5,4.7
Фарфор,55.8547088,37.5256705,Moscow,460,71000,9377.830739873967,85,0,4,,13465,90175,31,2000,4,4.3
Гурман,55.6809821,37.7646371,Moscow,1142,62000,9740.618087061983,85,3,12,,12417,81189,30,1800,13,4.0
Ором,55.7806531,37.8652075,Moscow,1398,94000,13155.626391643344,85,1,9,,12856,115025,25,1950,6,3.6
Столовая,55.771058,37.8685431,Moscow,769,68000,13263.700237143816,85,2,9,,10198,117711,36,1800,2,4.5
Казимир,55.8053015,37.6421213,Moscow,227,94000,3356.1804260433432,85,3,20,,7257,73246,47,1900,7,4.3
Лоза,55.8980561,37.5659935,Moscow,212,54000,13427.977163505266,85,0,5,,6783,126995,42,1950,9,4.1
Хинкальная,55.8912169,37.5694388,Moscow,284,54000,12642.523381381056,85,0,6,,6135,128564,10,2400,1,4.7
Unknown,55.7388658,37.78056,Moscow,1457,68000,7930.957960396536,85,1,4,,7330,112148,45,1900,14,3.8
House,55.6808367,37.7634911,Moscow,1493,62000,9691.06964143949,85,3,12,,6155,80759,48,2000,2,4.3
Телиани,55.7582535,37.7006601,Moscow,864,68000,2672.828712941122,85,1,26,,6286,106112,47,1900,2,3.9
Лефортово,55.7582465,37.6973396,Moscow,1075,68000,2465.331792539654,85,1,24,,6399,83637,45,3500,2,4.8
Unknown,55.6543948,37.7023216,Moscow,1185,62000,9450.828756162242,85,0,2,,10009,122423,15,1700,12,4.1
Prime,55.7200537,37.6055389,Moscow,304,62000,2315.7760405883337,85,10,50,,11852,82653,24,2000,3,4.0
Kombinat,55.720846,37.6003438,Moscow,1474,62000,2558.0585714847275,85,1,47,,6617,70345,33,1700,2,3.8
Кафе у Лоры,55.6818435,37.7727969,Moscow,298,62000,10112.334739285596,85,0,10,,7350,108433,27,2400,2,4.2
SeDelice,55.7193766,37.6088338,Moscow,1307,62000,2186.6460013416145,85,16,54,,10551,123862,12,3500,1,4.2
Малин,55.623052,37.7062911,Moscow,965,62000,12765.281551013346,85,1,7,,5032,103494,47,3500,10,3.8
Июль,55.558584,37.5550276,Moscow,1048,62000,19849.81819078372,85,0,6,,7591,129090,36,2000,12,4.7
Dale Cups coffee,55.568383,37.5719685,Moscow,306,62000,18536.81091348404,85,0,7,,10373,84912,48,1950,9,4.3
Coffee Waffles Fresh,55.6982114,37.6432159,Moscow,1117,62000,3666.656503101005,85,3,22,,13936,107796,46,2400,14,4.0
Кафе-кулинария,55.8633066,37.4222765,Moscow,665,71000,13934.21578410529,85,1,8,,14661,86277,24,1900,6,4.7
Столовая,55.7845877,37.6895523,Moscow,776,94000,2362.2478870646864,85,0,40,,9660,66139,15,1900,8,4.5
Рохат,55.8064282,37.582477,Moscow,1027,71000,3273.651335057302,85,28,71,,9282,123629,16,1900,10,3.7
Кофе Гусь,55.657587,37.4248069,Moscow,583,79000,13018.989342639235,85,1,8,,11958,103102,18,1700,4,4.4
Овсянки,55.7642516,37.568802,Moscow,1013,71000,1706.7855048269491,85,17,75,,14046,85138,23,1950,4,3.6
Jojo,55.7999407,37.5852255,Moscow,1391,71000,2552.0398185260615,85,7,101,,5099,120833,34,1950,9,3.8
Prime,55.804152,37.5833112,Moscow,715,71000,3019.4717122867173,85,20,86,,12685,125473,43,1900,10,4.1
Время Есть,55.6792393,37.6903455,Moscow,685,62000,6655.581918979744,85,2,7,,11408,98724,17,1950,3,4.1
SeDelice,55.8077601,37.5803179,Moscow,1082,71000,3428.103462290104,85,15,69,,11857,111590,10,1700,4,4.5
Берёзка,55.5883876,37.613355,Moscow,1095,62000,15926.982521619573,85,1,4,,10866,126036,32,1700,14,4.6
Чайхана Очаг,55.8700026,37.6375307,Moscow,738,54000,10359.536778609427,85,2,6,,5325,104671,34,1900,0,4.7
Chicko,55.7842763,37.5969449,Moscow,720,54000,666.4319381743774,85,26,165,,7296,109601,15,2300,3,4.6
Белая обезьяна,55.8032694,37.4222727,Moscow,940,71000,10524.141689867653,85,1,2,,10769,106427,15,1900,9,3.7
Караван One,55.7481857,37.7168047,Moscow,226,68000,3808.102844433065,85,4,37,,8986,116692,12,2400,6,4.5
Хинкальная,55.7608102,37.7037451,Moscow,1296,68000,2893.3109285795276,85,0,23,,11171,64566,33,1700,9,3.6
Венский цех,55.7588181,37.7091551,Moscow,1178,68000,3207.0690873424314,85,1,38,,14285,81530,21,2400,0,4.5
Охотка,55.757533,37.6366603,Moscow,1046,85000,363.0215389466488,85,23,213,,13037,91203,26,2300,11,4.5
КофеIN,55.6858544,37.8577016,Moscow,241,62000,14709.540943630996,85,3,8,,9674,95935,46,2100,5,4.2
Здрасте,55.5665469,37.4973088,Moscow,728,79000,20183.647759242464,85,1,5,,6180,114321,28,1900,9,4.6
Film.bar,55.7616349,37.6404838,Moscow,1214,85000,873.8152662371815,85,11,212,,14393,86293,42,2300,7,4.4
Coffee Cona,55.7544419,37.6364981,Moscow,706,85000,227.5154147722888,85,22,169,,7980,105027,19,3500,6,3.5
Hav.Palass,55.764696,37.6539351,Moscow,1108,68000,892.7455993438529,85,10,157,,6056,120760,41,2100,0,4.3
Bistro Ruski,55.7801707,37.5926172,Moscow,775,54000,601.0072589132742,85,59,224,,6625,71106,29,2000,14,3.9
Curry & Tandoori,55.7802906,37.592544,Moscow,961,54000,608.4817086823488,85,58,222,,9031,117097,12,1800,3,4.8
Тхань,55.772401,37.664266,Moscow,283,94000,704.2666836020086,85,8,121,,5129,125577,42,2300,3,4.5
Unknown,55.7515989,37.8661775,Moscow,419,68000,13040.363405057413,85,5,58,,6723,81586,27,1900,4,4.2
Альпака и кофе,55.7471247,37.59502,Moscow,587,89000,1711.5617176842336,85,8,109,,5664,93928,30,3500,1,4.5
Unknown,55.6581851,37.8929105,Moscow,1160,62000,17965.772333894718,85,1,3,,10603,104662,14,1800,0,4.1
Дринкит,55.7606216,37.6637533,Moscow,289,68000,540.1350254958895,85,12,98,,7074,111057,38,3500,7,3.9
Бишкек сити,55.7960924,37.5912534,Moscow,1430,54000,2015.8537403076512,85,13,77,,10882,115307,12,2000,13,4.7
Чайхона Баракат №1,55.7967626,37.5925864,Moscow,670,54000,2060.932738716008,85,13,76,,6352,119997,48,1800,2,4.6
Мандарин,55.7970829,37.5929439,Moscow,693,54000,2088.9208406814273,85,13,78,,11750,66395,48,3500,7,3.5
Лагманная №1,55.7972335,37.5931895,Moscow,845,54000,2100.9666507561224,85,13,77,,12555,90215,42,3500,6,4.2
Уют,55.7971859,37.5930954,Moscow,968,54000,2097.413348928787,85,13,77,,8611,89270,49,1950,14,4.5
Плов Центр,55.797605,37.5938517,Moscow,1129,54000,2130.5808226044483,85,14,72,,9938,121429,15,1700,0,3.6
Чайхана Исфара,55.7975411,37.593739,Moscow,1466,54000,2125.3835358111623,85,14,74,,11594,127923,15,2100,7,4.8
Basket Lunch,55.7987874,37.5941757,Moscow,1186,54000,2253.9785839713795,85,14,80,,7471,70965,11,3500,4,3.8
Чайхона Омар Хайам,55.795424,37.7003511,Moscow,513,94000,3564.425792794018,85,2,27,,12191,95416,42,3500,0,4.2
Cofix,55.7612323,37.5856365,Moscow,1157,72000,1310.6026643076361,85,5,77,,9616,121023,39,1800,0,4.2
Terrapieno,55.7372959,37.640056,Moscow,632,62000,725.7454157949444,85,13,134,,6002,101751,22,1950,11,4.6
6 a.m.,55.7375066,37.6413341,Moscow,772,62000,772.7095527905726,85,12,132,,7157,113166,34,2000,2,3.8
Surf Coffee,55.7448093,37.6368776,Moscow,235,85000,1158.8462136268993,85,4,97,,6691,93014,20,1700,10,3.9
Чайхана Халяль,55.805373,37.7096554,Moscow,1216,94000,4726.7623080436,85,0,13,,9230,82704,47,1950,1,4.2
Unknown,55.784914,37.7064399,Moscow,236,94000,3365.9015483475896,85,12,54,,7211,86902,26,1900,4,4.1
Cofix,55.7690555,37.6792221,Moscow,311,94000,1700.4156727699476,85,14,90,,8379,109504,20,1950,12,4.1
Kitchen,55.6759632,37.5369638,Moscow,421,79000,7766.542504083639,85,1,17,,14592,83011,24,2000,9,4.4
Corner Coffee,55.7550789,37.6477896,Moscow,467,68000,673.6452884732037,85,16,161,,5543,106046,34,1700,1,4.6
Бакинский рай,55.7464632,37.3970217,Moscow,701,79000,10517.108258807266,85,0,3,,7037,121679,17,2000,2,4.6
Брусника,55.7482159,37.5664481,Moscow,1178,79000,477.46752929570425,85,1,47,,9806,82353,33,1950,3,4.7
Брусника,55.7387667,37.5763884,Moscow,1270,79000,920.2117281192261,85,4,70,,14659,120148,27,1800,13,4.5
Брусника,55.7664412,37.590875,Moscow,613,77000,959.6324104715856,85,16,136,,8077,71430,29,3500,0,4.5
Брусника,55.7025198,37.4911022,Moscow,1006,79000,6533.787676855886,85,1,14,,5511,119448,41,1950,11,3.9
Андиамо,55.6787618,37.5111806,Moscow,1171,79000,7999.3234094893405,85,0,21,,13492,72837,33,1900,10,4.3
Blau,55.7470136,37.6278718,Moscow,794,85000,944.2549046471875,85,9,97,,12157,122665,40,2300,7,4.4
Cream Soda,55.7630625,37.6350376,Moscow,905,85000,905.5281029732439,85,35,223,,10198,127261,21,3500,5,3.7
"Чайхана ""Самарканд""",55.7599456,37.8966073,Moscow,1093,68000,14932.637889078253,85,1,4,,14183,87822,41,2300,0,4.6
9bar,55.7932142,37.6940362,Moscow,1229,94000,3101.806531500533,85,1,17,,13060,72475,29,2100,7,4.7
CofeFest,55.7757431,37.6718025,Moscow,952,94000,1051.2088841672619,85,21,98,,8570,71631,39,2300,0,4.0
Surf Coffee,55.7756362,37.6719448,Moscow,373,94000,1060.4933301139913,85,21,99,,9148,119927,40,1950,4,4.1
Шафран,55.7617934,37.5927432,Moscow,612,72000,864.8841774035284,85,10,107,,12481,68929,25,2000,7,4.5
Prime,55.6340381,37.4432456,Moscow,1197,79000,14413.294122459518,85,1,16,,12540,111813,45,2300,6,4.0
Prime,55.7260963,37.5778387,Moscow,896,79000,2146.9347574075127,85,10,46,,7214,110102,44,2300,14,4.5
Prime,55.6335147,37.4322592,Moscow,433,79000,14837.620290579987,85,12,16,,9208,123830,41,2100,3,4.5
Prime,55.7282995,37.6199812,Moscow,1031,62000,1107.1105411702756,85,14,97,,11148,81897,19,1950,2,4.2
Prime,55.7327389,37.6443243,Moscow,724,62000,497.6728610843045,85,15,96,,6549,105546,30,1900,7,3.8
Prime,55.7537544,37.6626499,Moscow,975,68000,463.57284230107,85,8,89,,12133,108433,49,2100,8,4.0
Prime,55.7472845,37.534778,Moscow,903,79000,1926.4717016988675,85,33,76,,12123,81429,30,1900,10,4.5
Prime,55.7838829,37.5591986,Moscow,540,71000,1729.4505557062687,85,7,33,,12411,71213,36,1900,11,3.5
Prime,55.7446619,37.6307567,Moscow,327,85000,1158.0850631316212,85,19,89,,12232,107213,39,2100,14,4.6
Prime,55.6564353,37.527732,Moscow,956,79000,10012.87541463911,85,2,20,,7400,100547,32,2100,8,4.8
Prime,55.6649586,37.4812783,Moscow,1142,79000,10235.323413101034,85,4,8,,10667,98191,46,1950,9,4.0
Prime,55.7627839,37.5652098,Moscow,666,71000,1969.8101307129675,85,18,80,,7925,83413,10,2100,9,3.8
Prime,55.7425149,37.6472549,Moscow,1104,62000,1432.326384812639,85,4,99,,11118,101769,14,2100,13,3.6
Stoleshnikov,55.7222409,37.6512475,Moscow,1068,62000,1320.8172569984663,85,11,45,,14953,79353,30,1900,13,4.0
Stoleshnikov,55.8052247,37.5215015,Moscow,1490,71000,5011.511433427177,85,11,69,,9758,90571,47,1950,8,4.2
Cinnabon,55.7075844,37.4567217,Moscow,782,79000,7897.4500375167545,85,1,4,,7972,120095,32,2100,8,3.6
Cinnabon,55.7388271,37.4118769,Moscow,271,79000,9601.95587055485,85,2,13,,14591,124298,24,1700,11,3.6
Cinnabon,55.6585091,37.846055,Moscow,1208,62000,15382.459541495908,85,0,10,,5216,127851,18,1700,14,4.0
Cinnabon,55.7782143,37.6020867,Moscow,1440,54000,87.53392664237414,85,30,201,,11251,80289,10,2100,14,4.7
Cinnabon,55.9115658,37.3947091,Moscow,1016,71000,19066.783985678543,85,12,15,,7472,84199,13,1900,4,3.7
Cinnabon,55.695783,37.4984488,Moscow,1254,79000,6791.040266594718,85,2,15,,11325,118333,10,1900,7,4.6
Cinnabon,55.7067953,37.5932568,Moscow,1269,62000,3840.5313086907777,85,9,25,,13886,104194,18,2400,14,4.3
Cinnabon,55.6923274,37.5285834,Moscow,475,79000,6181.884189414547,85,5,24,,6458,100232,43,2300,7,4.0
Breakfast Club,55.7579941,37.6249149,Moscow,508,89000,568.6439096222866,85,17,182,,10135,81313,21,1700,8,4.0
Cinnabon,55.7107077,37.6752895,Moscow,793,62000,3292.6716218517477,85,4,17,,11138,128865,25,2100,5,4.3
Cinnabon,55.6536639,37.8437135,Moscow,1057,62000,15549.698609240248,85,5,8,,14873,125518,27,1900,5,4.4
Cinnabon,55.7770919,37.5234577,Moscow,286,71000,3786.1873932178814,85,4,15,,7329,88895,10,3500,2,4.3
Поль,55.8790889,37.547088,Moscow,1288,71000,11583.494452821185,85,2,14,,8809,102426,47,2000,10,4.6
Шоколадный бункер,55.7344062,37.6302391,Moscow,1411,62000,568.0045415536775,85,10,156,,11392,80412,22,1800,3,4.1
Degtyarny,55.7680612,37.6018108,Moscow,963,77000,429.5780472226573,85,10,147,,9573,91466,28,2000,0,4.0
Unknown,55.7974598,37.6124175,Moscow,844,54000,2153.4868156744606,85,4,29,,9063,127539,40,1800,3,4.6
Алиса,55.827177,37.6606393,Moscow,368,94000,5701.526626850438,85,0,11,,10333,95049,40,1900,8,4.6
Зебо,55.6593125,37.8106605,Moscow,1388,62000,13490.135502694622,85,0,1,,14469,97777,48,1900,2,4.6
"Чайхана ""Восток""",55.6578064,37.7993936,Moscow,584,62000,13031.325669491001,85,0,1,,8580,113151,15,3500,6,4.7
Хинкали-Гали! буфет,55.789161,37.583095,Moscow,1226,71000,1353.4250120488123,85,11,66,,13206,120242,27,2400,9,4.2
Шоколадница,55.790917,37.5589355,Moscow,433,71000,2202.467322010559,85,4,37,,6310,76470,26,1800,12,4.5
Музей кофеграфии,55.7695155,37.6304135,Moscow,562,77000,1607.5701418314713,85,20,166,,13008,78616,31,1900,8,3.6
Taco Time,55.7685092,37.6842123,Moscow,1381,94000,2007.9984372959402,85,7,69,,6350,105785,16,2100,6,4.3
Unknown,55.8129201,37.6040282,Moscow,306,54000,3773.873073916105,85,4,11,,11841,101575,25,2100,0,4.7
St. Cultura,55.7106613,37.6457419,Moscow,1129,62000,2326.885472091686,85,0,45,,8792,115941,19,1800,5,3.6
Gorilla by Баста,55.7616666,37.6328559,Moscow,1225,85000,741.3469247417798,85,34,212,,8571,90714,17,1800,14,4.3
Пан Круассан,55.7838793,37.71906,Moscow,570,94000,4100.5574038096565,85,11,42,,9326,97390,31,2300,2,4.1
Кофедей,55.7715983,37.6026325,Moscow,1460,77000,763.3363613311,85,16,155,,6538,77489,24,1700,10,3.6
Unknown,55.7843516,37.7148809,Moscow,223,94000,3857.9475651722782,85,5,46,,10529,98960,29,1800,6,4.5
Prime,55.7495731,37.5369713,Moscow,647,79000,1860.4519412742743,85,37,71,,6433,122364,15,1900,2,3.8
Кофепорт,55.8039188,37.4901145,Moscow,490,71000,6588.536088987124,85,2,33,,11247,81073,33,2000,6,4.8
Antipa,55.7477683,37.6056218,Moscow,1155,89000,1214.7059787347237,85,7,99,,7485,80047,15,2400,14,4.7
Angel Cakes,55.7638069,37.5957004,Moscow,1196,72000,644.6877364501726,85,17,134,,5593,129455,48,1900,5,4.4
Буфетрина,55.7528381,37.6675943,Moscow,611,68000,758.0120506768903,85,12,84,,5660,126866,12,1700,9,3.9
Shwarm,55.7436384,37.5056425,Moscow,721,79000,3715.4608019068455,85,8,44,,14938,124320,47,2100,10,4.6
Prosvet,55.7758813,37.5967027,Moscow,653,54000,479.5868891878861,85,8,249,,6269,126014,20,2100,2,4.4
Prosvet,55.7546358,37.6256038,Moscow,1490,85000,464.5732671289248,85,7,142,,13500,74298,38,2000,1,4.8
Алёнка,55.7868968,37.6595986,Moscow,393,94000,1245.3225697416212,85,5,24,,6017,99002,10,2400,7,4.0
Unknown,55.8410441,37.6503718,Moscow,1275,94000,7238.3536749793775,85,1,22,,13785,124717,33,2400,5,4.1
Старик Хинкалыч,55.7676558,37.6467455,Moscow,448,94000,1061.8027089684238,85,13,170,,8810,101400,28,3500,10,3.8
Layerz Bakery,55.7906631,37.5895908,Moscow,1370,54000,1511.2552495540965,85,5,75,,12121,126346,49,1950,7,4.7
Кофепорт,55.7516773,37.6001099,Moscow,911,89000,1157.1277133907643,85,21,114,,9897,108679,40,1950,12,4.3
Monkey’s pride,55.5281859,37.587089,Moscow,1407,62000,22768.49775604224,85,0,1,,7493,106395,47,1900,11,3.5
Правда Кофе,55.7365764,37.6187807,Moscow,337,62000,1298.2994148636337,85,9,131,,9840,119724,41,3500,5,3.5
Ska vi Fika?,55.737709,37.6351918,Moscow,924,62000,754.5471057715328,85,8,137,,12774,126497,49,2300,0,4.7
Сиеста,55.7347439,37.6192059,Moscow,524,62000,1189.303534483999,85,6,131,,11696,84857,33,2100,1,3.5
Footbe,55.7866473,37.5830563,Moscow,567,71000,1074.3526099780393,85,9,130,,10443,66097,21,3500,11,4.7
Совиный дом,55.7911962,37.633848,Moscow,925,94000,2145.7923374453394,85,5,19,,12325,67616,13,2300,4,4.4
Хинкали-Гали,55.8419974,37.3727645,Moscow,703,71000,15048.351458381507,85,3,13,,10134,107135,48,2400,11,4.1
Хинкальная,55.755597,37.8581706,Moscow,338,68000,12525.831471978378,85,6,42,,13253,114211,43,1700,6,4.2
Фарфор,55.5086844,37.5655522,Moscow,939,62000,25124.1358761152,85,0,4,,14068,86512,39,2300,7,4.1
Pho Ly Quoc Su,55.781794,37.6005683,Moscow,285,54000,323.3208553645824,85,42,179,,10492,128084,27,2100,10,3.5
Шоколадница,55.8110215,37.8007651,Moscow,925,94000,9909.217800279826,85,7,23,,13226,71892,49,2300,12,3.6
Натахтари,55.8109281,37.8002637,Moscow,215,94000,9876.32542973097,85,7,23,,9349,99412,40,1900,8,4.2
Правда Кофе,55.7864436,37.5832763,Moscow,281,71000,1051.0550444918342,85,8,132,,10422,129025,34,2300,2,4.6
Viet Ngon,55.860054,37.4836806,Moscow,839,71000,11160.851651426829,85,3,22,,9678,80764,18,1800,9,4.6
Unknown,55.7359135,37.5941192,Moscow,1098,79000,2032.4972255108944,85,5,55,,5816,123981,35,2300,3,4.0
Kitsune,55.7684154,37.6841702,Moscow,1045,94000,2009.9588665386832,85,7,67,,13934,79959,36,1950,0,4.0
Калитки,55.8563024,37.4760725,Moscow,1289,71000,11100.501056441632,85,5,13,,7009,109950,35,1800,10,3.9
Kulinari,55.7028367,37.5102721,Moscow,1333,79000,5718.0792184433385,85,5,25,,8857,79401,31,1900,1,4.1
Дон-Пиццерон,55.8346625,37.3561107,Moscow,1093,71000,15617.954583754534,85,0,0,,6074,86029,14,3500,7,4.3
